5837,3,292,701
3277,5,442,992
446,4,804,741
934,4,142,351
2520,4,565,277
7648,3,501,277
5198,2,331,491
9663,5,653,526
8784,3,676,436
2359,5,951,338
3554,2,784,204
4226,3,418,967
5855,3,802,567
5738,3,796,153
4229,4,124,400
1239,5,900,691
4832,4,589,243
33,4,48,287
1936,4,921,684
9659,5,664,725
7446,3,129,406
2061,3,322,811
6146,3,538,514
8047,5,503,423
4857,2,828,184
377,2,340,264
631,5,82,585
549,5,464,176
4158,3,644,472
6894,5,997,777
3691,4,81,119
4663,2,750,947
9974,5,913,766
483,5,876,608
4323,3,926,473
8882,3,513,171
5984,3,688,849
4305,2,470,360
4505,5,754,765
5580,4,481,592
4656,2,551,289
1519,4,577,167
1759,5,618,589
7186,3,321,539
5975,3,761,856
8384,3,867,289
8244,2,488,358
8522,3,590,920
2325,4,762,380
4573,3,158,727
7747,3,284,683
1811,4,831,939
9373,5,500,459
3208,4,443,397
2752,3,370,312
2874,3,180,782
3107,4,447,319
1690,3,419,754
2077,4,351,987
2678,4,712,376
6572,2,539,576
6510,4,621,880
8262,4,227,917
9237,4,955,372
6468,4,733,344
7681,2,441,254
635,5,660,706
5796,4,156,646
4508,2,386,472
9304,5,574,849
7035,5,672,604
1619,5,247,844
2072,4,543,185
9791,2,231,282
3570,4,924,165
9651,2,426,654
9015,3,117,423
6216,4,864,616
1134,5,659,385
6831,4,420,613
3171,2,216,782
3951,3,465,671
2267,3,211,820
8897,4,102,143
2046,5,308,502
1975,5,507,643
8595,3,930,138
5829,2,670,446
5705,5,729,248
9544,2,975,728
6578,3,912,969
9130,4,849,253
401,4,810,603
671,3,28,774
583,4,290,725
734,2,555,312
4288,4,187,337
6000,2,148,814
978,2,44,564
7975,4,457,769
1763,4,908,818
3796,5,123,929
9789,3,424,701
5905,4,671,180
197,5,635,171
2597,4,87,129
9433,4,119,997
1806,5,181,947
7757,4,869,981
204,2,764,299
8099,3,717,989
5763,5,868,593
3018,2,662,414
6177,3,568,226
4786,5,13,549
122,4,614,159
1063,4,747,673
8919,5,62,558
3428,3,455,389
870,3,663,335
6589,2,777,298
3037,5,751,732
6450,3,431,418
4825,4,989,831
5928,2,41,885
1709,2,348,345
7666,3,692,853
4821,4,417,792
2731,3,553,413
6876,5,850,716
3195,2,436,673
2108,5,15,524
6483,4,381,702
1744,5,820,774
7785,2,392,784
4767,3,884,208
1814,2,728,583
6024,2,9,573
7311,4,895,249
247,3,682,226
2512,5,988,863
7427,4,357,794
2850,5,58,460
1033,2,56,629
1489,3,622,501
6661,4,983,826
5936,5,226,629
3714,2,329,506
4774,2,391,449
5018,2,406,408
8010,5,757,280
436,4,832,983
5110,4,903,714
3054,4,299,414
7338,4,493,257
2392,2,363,915
7702,3,265,712
4962,3,902,222
4696,5,320,564
7580,4,772,401
7490,3,613,580
2694,4,393,340
9954,4,916,322
5421,5,127,408
8705,4,823,798
2969,2,918,890
8206,2,301,583
5084,2,778,396
7226,5,103,261
9682,2,738,948
9576,4,940,647
3874,5,801,291
1703,3,638,578
8768,4,93,650
6529,5,877,147
6171,3,711,708
923,4,942,268
3388,4,775,524
529,4,295,874
1260,5,161,582
3762,4,767,262
3920,4,838,275
1603,2,30,576
3690,3,844,558
1423,5,150,381
8969,3,734,396
719,4,353,109
2843,5,569,552
2818,3,413,998
4701,4,104,461
7779,3,274,342
8308,2,893,785
5036,2,909,388
2431,3,228,428
6269,2,875,159
2759,4,797,423
1113,4,208,886
4993,3,732,860
7523,5,345,756
6829,3,620,161
