4163,4,102,688
470,2,3,994
3122,3,841,534
4420,4,368,736
720,5,803,682
2058,3,973,182
9162,4,43,218
2801,5,150,477
2405,5,672,313
3858,3,726,702
2146,4,941,445
5022,5,472,716
5534,4,520,679
3777,5,531,384
8668,2,852,712
9513,5,942,667
9226,3,817,457
7623,4,882,741
6613,5,257,983
5441,2,490,760
928,2,883,927
5749,3,317,499
7929,4,233,460
2436,2,20,250
1572,5,659,776
7452,5,524,586
2360,5,446,340
2619,2,428,722
3035,4,908,434
7740,5,515,615
8213,4,462,982
7375,4,181,907
6951,5,605,330
8856,5,103,382
1939,2,59,621
3290,3,74,325
5261,2,22,839
625,4,958,643
9799,5,222,990
5832,3,964,744
3991,5,357,478
27,2,432,218
4156,2,811,175
8446,4,595,256
7895,2,234,880
7269,3,761,507
7207,5,460,817
6549,3,355,608
3214,5,793,236
501,5,386,196
6986,3,917,693
3896,4,990,292
1568,3,533,757
9445,5,792,359
7042,5,812,389
4072,4,770,202
6059,3,647,330
1742,2,548,465
7692,3,539,506
6580,5,238,269
946,4,135,816
3634,3,849,679
507,2,728,411
6286,4,147,725
9361,2,246,718
145,3,278,342
6643,4,319,697
8352,4,594,320
6356,3,402,995
1686,5,824,533
1873,2,474,785
5552,5,345,598
3865,5,862,434
3754,2,498,634
278,4,980,401
4375,3,551,597
7815,4,968,226
1570,5,37,187
3434,5,928,111
4520,3,414,390
449,3,983,465
201,2,734,138
8644,4,47,185
6855,3,485,501
6675,2,269,308
7449,5,618,816
3964,2,288,881
1347,3,825,818
254,5,50,280
3361,5,729,729
3459,5,390,862
1852,2,765,726
4771,4,478,545
2089,3,509,452
4885,4,1,697
3117,4,741,200
8369,3,845,898
6850,2,174,956
347,5,735,745
9668,5,387,720
3707,2,532,268
8335,5,896,643
7318,3,48,931
7086,4,15,581
7836,2,560,150
9268,4,376,503
227,3,217,173
2499,3,224,209
5851,3,268,287
5003,4,358,503
3710,4,671,888
5188,2,182,965
2698,3,180,553
2403,4,769,841
8703,3,33,857
4833,4,848,361
3026,2,336,862
7504,4,11,122
1578,4,985,535
6321,2,634,254
1634,3,609,885
5744,3,872,154
1591,4,754,689
8614,3,340,134
5782,2,255,144
6364,3,9,231
9011,5,722,743
8059,2,625,862
5283,3,796,372
143,3,719,417
59,3,744,732
147,2,746,212
1188,3,192,687
4411,3,822,671
5907,4,218,521
1928,5,998,362
387,3,396,388
7780,3,596,230
6328,2,471,905
939,3,666,453
2469,2,743,700
4279,4,459,560
4521,4,687,423
4942,4,828,547
8220,4,296,420
9832,2,689,844
2443,5,77,906
4350,5,939,699
609,4,912,838
2905,2,425,170
7271,3,557,490
7343,4,967,866
1309,5,435,237
8482,3,610,533
9666,2,949,437
4311,4,430,793
1244,4,312,126
6297,4,554,193
266,3,424,214
2192,2,698,374
662,2,53,194
9715,4,108,906
1990,5,827,266
3447,3,245,307
8505,5,844,433
6875,2,380,957
3011,5,762,743
2096,4,342,599
7321,3,112,914
5899,3,783,334
8923,5,854,834
9288,3,592,485
813,2,976,531
1130,2,952,468
4799,5,113,845
45,2,512,457
2955,5,477,798
5969,2,309,300
7089,3,93,912
5514,4,494,692
6384,3,469,776
7496,4,864,880
7795,4,142,780
4426,4,352,291
5772,4,742,101
5558,3,44,911
6168,3,398,783
7699,2,302,940
832,2,23,405
2477,4,80,253
3348,2,331,972
9891,5,87,185
677,2,528,507
8130,3,995,230
3169,4,549,175
9491,3,629,378
7853,5,691,650
9924,2,650,974
8294,4,375,902
7405,2,944,731
